PELAAJA,JOUKKUE,O,L,M,M/O,L/O,raw,Adjusted,yhd_luokka_eb
Einiö Niko,LASB,17,178,14,0.8235294117647058,10.470588235294118,0.07865168539325842,0.08230899236413751,"Low,% -- Very High,spg"
Haukkala Konsta,SPV,17,138,12,0.7058823529411765,8.117647058823529,0.08695652173913043,0.0903635643437533,"Low,% -- Very High,spg"
Vesterinen Waltteri,TPS,18,124,8,0.4444444444444444,6.888888888888889,0.06451612903225806,0.0716889197199736,"Low,% -- Very High,spg"
Forsman Juuso,FBC,17,121,8,0.47058823529411764,7.117647058823529,0.06611570247933884,0.07318816046775117,"Low,% -- Very High,spg"
Hyrkkönen Kim,Happee,17,121,10,0.5882352941176471,7.117647058823529,0.08264462809917356,0.08713025689988983,"Low,% -- Very High,spg"
