PELAAJA,JOUKKUE,O,M,S,P,R,+,-,+/-,L,L%,kausi
Heiska Ville,Happee,4,1,0,1,0,5,5,0,10,10.0,2021-2022
Savonen Krister,Classic,1,1,0,1,0,3,2,1,2,50.0,2021-2022
Tuononen Roni,OLS,26,0,0,0,2,3,5,-2,1,0.0,2021-2022
Kuisma Olli,TPS,26,0,0,0,0,0,1,-1,0,-,2021-2022
Kirvesniemi Mikko,Indians,26,0,0,0,0,0,0,0,0,-,2021-2022
Fälden Oskari,TPS,26,0,0,0,0,0,0,0,0,-,2021-2022
Beijar Jens,Tiikerit,26,0,0,0,0,8,6,2,1,0.0,2021-2022
Sillanpää Oskar,Classic,25,0,0,0,0,0,1,-1,0,-,2021-2022
Kaltiainen Joonas,Oilers,25,0,0,0,0,0,0,0,1,0.0,2021-2022
Mutka Roope,Jymy,24,0,0,0,0,0,0,0,0,-,2021-2022
Kronqvist Anton,SPV,24,0,0,0,0,0,0,0,0,-,2021-2022
Kanerva Jesse,KrP,24,0,0,0,2,3,3,0,5,0.0,2021-2022
Bergendahl Tomi,Karhut,24,0,0,0,0,0,0,0,0,-,2021-2022
Ripatti Antti,LASB,23,0,0,0,0,0,0,0,0,-,2021-2022
Vonk Arvid,Karhut,22,0,0,0,0,3,4,-1,0,-,2021-2022
Pulkkinen Sakari,ErVi,22,0,0,0,0,5,7,-2,1,0.0,2021-2022
Lukkari Eerik,Karhut,22,0,0,0,0,6,23,-17,33,0.0,2021-2022
Kartano Aleksi,Steelers,22,0,0,0,0,2,24,-22,9,0.0,2021-2022
Jokisalo Juuso,Indians,22,0,0,0,0,7,4,3,0,-,2021-2022
Järvinen Pasi,Steelers,21,0,0,0,0,0,0,0,0,-,2021-2022
Valajärvi Veeti,Tiikerit,20,0,0,0,0,4,47,-43,22,0.0,2021-2022
Kerola Jacob,ErVi,20,0,0,0,4,11,12,-1,8,0.0,2021-2022
Järvenpää Niko,Karhut,20,0,0,0,0,2,7,-5,3,0.0,2021-2022
Nordström Niko,Oilers,19,0,0,0,0,0,0,0,0,-,2021-2022
Merz Timon,Tiikerit,18,0,0,0,4,2,16,-14,5,0.0,2021-2022
Koskinen Valtteri,TPS,18,0,0,0,0,3,3,0,4,0.0,2021-2022
Kuutsa Eero,TPS,17,0,0,0,0,2,2,0,3,0.0,2021-2022
Hassinen Miko,Happee,15,0,0,0,0,0,1,-1,0,-,2021-2022
Korhonen Santeri,Steelers,12,0,0,0,0,1,5,-4,5,0.0,2021-2022
Aaltokallio Miika,Happee,12,0,0,0,0,0,0,0,0,-,2021-2022
Vuoristo Santtu,ErVi,11,0,0,0,0,3,7,-4,7,0.0,2021-2022
Salonen Vesa,Jymy,11,0,0,0,0,6,14,-8,0,-,2021-2022
Marjamäki Miikka,Steelers,11,0,0,0,0,0,5,-5,0,-,2021-2022
Tähkä Kasper,SPV,10,0,0,0,0,0,1,-1,3,0.0,2021-2022
Lamminmäki Martti,Jymy,10,0,0,0,2,1,11,-10,6,0.0,2021-2022
Laitinen Patrik,ErVi,10,0,0,0,0,2,15,-13,13,0.0,2021-2022
Räsänen Juho,ErVi,8,0,0,0,0,3,5,-2,8,0.0,2021-2022
Pernu Valtteri,Happee,8,0,0,0,0,0,0,0,0,-,2021-2022
Hellsten Rasmus,Oilers,8,0,0,0,0,0,0,0,0,-,2021-2022
Saarinen Miki,KrP,7,0,0,0,0,0,0,0,0,-,2021-2022
Ruuska Mikko,Steelers,7,0,0,0,0,1,6,-5,8,0.0,2021-2022
Kimpanpää Miika,Classic,7,0,0,0,0,1,1,0,1,0.0,2021-2022
Mustonen Justus,Oilers,6,0,0,0,0,0,0,0,5,0.0,2021-2022
Lakso Teemu,SPV,6,0,0,0,0,0,0,0,1,0.0,2021-2022
Lahtinen Joel,Classic,6,0,0,0,0,0,1,-1,0,-,2021-2022
Jyrkiäinen Matti,SPV,6,0,0,0,0,0,0,0,0,-,2021-2022
Jokela Jesse,Steelers,6,0,0,0,0,0,0,0,0,-,2021-2022
Suutari Ville,LASB,5,0,0,0,0,2,2,0,2,0.0,2021-2022
Suonpää Patrik,Karhut,5,0,0,0,0,0,0,0,0,-,2021-2022
Jäppinen Amos,Indians,5,0,0,0,0,0,0,0,0,-,2021-2022
Ilmivalta Topias,Oilers,5,0,0,0,0,3,4,-1,1,0.0,2021-2022
Tynkkynen Lauri,KrP,4,0,0,0,0,0,1,-1,0,-,2021-2022
Surakka Joonatan,LASB,4,0,0,0,0,1,4,-3,7,0.0,2021-2022
Sieppi Julius,Happee,4,0,0,0,0,0,2,-2,2,0.0,2021-2022
Ojala Touko,ErVi,4,0,0,0,0,0,0,0,0,-,2021-2022
Vormisto Petteri,LASB,3,0,0,0,0,0,0,0,0,-,2021-2022
Tervonen Miika,Tiikerit,3,0,0,0,0,0,1,-1,2,0.0,2021-2022
Sassi Arttu,Indians,3,0,0,0,0,0,0,0,0,-,2021-2022
Vänttinen Oliver,Classic,2,0,0,0,0,0,0,0,0,-,2021-2022
Vikstedt Antti,OLS,2,0,0,0,0,2,3,-1,7,0.0,2021-2022
Vettervik Jussi,Karhut,2,0,0,0,0,1,1,0,0,-,2021-2022
Rissanen Aarne,ErVi,2,0,0,0,0,0,0,0,0,-,2021-2022
Pulkkinen Jere,Classic,2,0,0,0,0,2,3,-1,0,-,2021-2022
Pokela Matias,Jymy,2,0,0,0,0,0,0,0,0,-,2021-2022
Peltoniemi Veeti,Classic,2,0,0,0,0,0,0,0,1,0.0,2021-2022
Pasanen Rasmus,Indians,2,0,0,0,0,0,0,0,0,-,2021-2022
Nykänen Niklas,Tiikerit,2,0,0,0,0,0,0,0,0,-,2021-2022
Miettinen Arttu,Tiikerit,2,0,0,0,2,1,1,0,1,0.0,2021-2022
Mertaniemi Väinö,OLS,2,0,0,0,0,0,0,0,0,-,2021-2022
Kataja-Rahko Sakari,ErVi,2,0,0,0,0,0,0,0,0,-,2021-2022
Karkulowski Emil,LASB,2,0,0,0,0,0,0,0,0,-,2021-2022
Jokinen Arttu,Tiikerit,2,0,0,0,0,1,3,-2,0,-,2021-2022
Hilden Leevi,Steelers,2,0,0,0,0,0,1,-1,2,0.0,2021-2022
Heinäharju Samu,Happee,2,0,0,0,2,0,1,-1,2,0.0,2021-2022
Auvinen Otso,Classic,2,0,0,0,0,0,0,0,0,-,2021-2022
kurikka Artturi,Happee,1,0,0,0,0,0,0,0,0,-,2021-2022
Viljanen Kaapo,Happee,1,0,0,0,0,0,0,0,1,0.0,2021-2022
Sulander Jere,LASB,1,0,0,0,0,0,0,0,0,-,2021-2022
Siekkinen Paavo,Happee,1,0,0,0,0,1,1,0,0,-,2021-2022
Rantaniemi Iiro,OLS,1,0,0,0,0,0,0,0,0,-,2021-2022
Rantala Leevi,ErVi,1,0,0,0,0,0,0,0,0,-,2021-2022
Panuma Riku,OLS,1,0,0,0,0,0,0,0,0,-,2021-2022
Painilainen Rasmus,Steelers,1,0,0,0,0,0,0,0,0,-,2021-2022
Paananen Joel,Happee,1,0,0,0,0,0,1,-1,1,0.0,2021-2022
Ollikainen Mikael,KrP,1,0,0,0,0,0,0,0,1,0.0,2021-2022
Manninen Eetu,Jymy,1,0,0,0,0,0,0,0,0,-,2021-2022
Kuusela Aaro,Oilers,1,0,0,0,0,0,1,-1,0,-,2021-2022
Korhonen Teemu,LASB,1,0,0,0,0,0,0,0,0,-,2021-2022
Kivelä Ville,OLS,1,0,0,0,0,2,0,2,1,0.0,2021-2022
Hämäläinen Petteri,Jymy,1,0,0,0,0,0,0,0,0,-,2021-2022
Hussi Tuure,Indians,1,0,0,0,0,0,0,0,0,-,2021-2022
Honko Valtteri,SPV,1,0,0,0,0,0,0,0,0,-,2021-2022
Haapala Otto,SPV,1,0,0,0,0,0,0,0,0,-,2021-2022
Forss Onni,Indians,1,0,0,0,0,0,0,0,0,-,2021-2022
Anson Elias,KrP,1,0,0,0,0,0,0,0,0,-,2021-2022
Johansson Sami,Classic,26,44,30,74,2,113,40,73,288,15.3,2020-2021
Rantala Joona,KrP,25,30,34,64,2,106,45,61,221,13.6,2020-2021
Johansson Henri,KrP,26,37,26,63,0,107,46,61,168,22.0,2020-2021
Salin Eemeli,Classic,26,33,27,60,0,109,50,59,216,15.3,2020-2021
Kotilainen Peter,Happee,22,30,29,59,30,81,52,29,242,12.4,2020-2021
Iiskola Tuomas,Oilers,26,25,28,53,10,80,41,39,142,17.6,2020-2021
Kailiala Miko,TPS,25,34,18,52,2,93,47,46,209,16.3,2020-2021
Kainulainen Justus,Oilers,26,35,17,52,8,95,41,54,257,13.6,2020-2021
Jonaeson Nico,KrP,26,21,26,47,8,104,53,51,148,14.2,2020-2021
Kainulainen Rasmus,Oilers,24,21,24,45,22,83,45,38,121,17.4,2020-2021
Markkola Markus,Oilers,26,20,24,44,6,87,36,51,127,15.7,2020-2021
Hautaniemi Mikko,TPS,26,22,21,43,2,75,41,34,177,12.4,2020-2021
Koski Sami,SPV,26,10,32,42,2,86,50,36,110,9.1,2020-2021
Sieppi Joni-Arttu,SPV,25,29,13,42,2,58,33,25,164,17.7,2020-2021
Lastikka Ville,Classic,26,21,20,41,0,71,61,10,223,9.4,2020-2021
Koljonen Perttu,LASB,26,28,13,41,2,62,52,10,240,11.7,2020-2021
Kainulainen Valtteri,Indians,26,33,8,41,4,88,54,34,119,27.7,2020-2021
Laakso Mikko,KrP,26,16,21,37,4,77,39,38,132,12.1,2020-2021
Salmi Markus,ErVi,25,23,12,35,10,71,53,18,190,12.1,2020-2021
Hakala Tommi,Jymy,26,18,16,34,8,52,86,-34,141,12.8,2020-2021
Salo Nico,Classic,20,12,21,33,8,87,26,61,73,16.4,2020-2021
Hirvisuo Ville,TPS,26,18,15,33,0,71,46,25,85,21.2,2020-2021
Rintala Toni,Tiikerit,25,22,11,33,6,45,61,-16,95,23.2,2020-2021
Astala Aaro,Indians,13,12,20,32,0,48,23,25,75,16.0,2020-2021
Kukkola Jani,ErVi,24,11,20,31,30,63,51,12,104,10.6,2020-2021
Nivala Tino,LASB,26,15,16,31,2,66,57,9,95,15.8,2020-2021
Manninen Jami,Happee,15,15,16,31,2,47,24,23,144,10.4,2020-2021
Pelto-Arvo Jukka-Pekka,SPV,25,16,15,31,4,74,51,23,101,15.8,2020-2021
Kotilainen Paul,Happee,24,16,15,31,0,76,50,26,123,13.0,2020-2021
Keskinen Juuso,SPV,26,18,13,31,12,48,43,5,151,11.9,2020-2021
Sorri Juho,OLS,23,18,12,30,0,52,40,12,153,11.8,2020-2021
Laasonen Roni,Happee,23,22,8,30,10,65,43,22,153,14.4,2020-2021
Sipronen Markus,Steelers,22,11,18,29,16,56,55,1,94,11.7,2020-2021
Heikkilä Oskari,Classic,24,19,10,29,16,53,33,20,122,15.6,2020-2021
Hankkio Jari,SPV,18,20,9,29,2,42,22,20,124,16.1,2020-2021
Kivioja Tuukka,OLS,26,9,19,28,8,60,47,13,160,5.6,2020-2021
Karvonen Valte,OLS,25,11,17,28,10,64,48,16,61,18.0,2020-2021
Alaluusua Samuli,Indians,25,11,17,28,8,52,34,18,104,10.6,2020-2021
Iiskola Heikki,Oilers,22,21,7,28,12,54,34,20,130,16.2,2020-2021
Piha Jussi,Classic,26,4,23,27,4,68,48,20,51,7.8,2020-2021
Ahokas Aleksi,Welhot,25,11,16,27,2,37,84,-47,115,9.6,2020-2021
Surakka Joonatan,LASB,26,15,12,27,4,65,56,9,143,10.5,2020-2021
Lund Joakim,Tiikerit,21,15,12,27,12,39,49,-10,150,10.0,2020-2021
Vesterinen Waltteri,TPS,26,16,11,27,10,72,37,35,101,15.8,2020-2021
Lindholm Joonatan,ErVi,26,12,14,26,6,66,52,14,121,9.9,2020-2021
Kovanen Joonatan,KrP,25,14,12,26,6,76,38,38,120,11.7,2020-2021
Heikkinen Juuso,Happee,26,20,6,26,12,56,46,10,95,21.1,2020-2021
Tuononen Riku,Welhot,26,12,13,25,10,36,91,-55,175,6.9,2020-2021
Bolliger Silvan,Happee,21,15,10,25,0,53,41,12,76,19.7,2020-2021
Niskanen Sami,Indians,25,12,12,24,6,53,44,9,61,19.7,2020-2021
Forsman Juuso,TPS,26,17,7,24,10,53,29,24,112,15.2,2020-2021
Laiti Niko,Indians,25,18,6,24,4,57,42,15,117,15.4,2020-2021
Lindfors Jesperi,Oilers,26,8,15,23,4,64,41,23,46,17.4,2020-2021
Megyaszai Daniel,Steelers,24,10,13,23,8,45,67,-22,109,9.2,2020-2021
Paulaharju Simo,KrP,26,13,10,23,6,37,35,2,92,14.1,2020-2021
Salo Teppo,Indians,25,13,10,23,0,36,44,-8,80,16.3,2020-2021
Sikkinen Eetu,Classic,26,10,12,22,2,45,31,14,62,16.1,2020-2021
Haukkala Konsta,SPV,26,10,12,22,26,56,44,12,94,10.6,2020-2021
Liponen Vili,KrP,26,12,10,22,4,53,40,13,61,19.7,2020-2021
Lindfors Santeri,Oilers,26,13,9,22,4,63,38,25,53,24.5,2020-2021
Hoikkanen Janne,TPS,25,13,9,22,4,39,30,9,68,19.1,2020-2021
Matilainen Nico,Steelers,25,15,7,22,6,48,56,-8,124,12.1,2020-2021
Stenfors Lauri,TPS,26,8,13,21,14,68,39,29,50,16.0,2020-2021
Mäkinen Jarno,Steelers,24,8,13,21,14,57,65,-8,52,15.4,2020-2021
Salminen Toni,TPS,22,10,11,21,4,64,28,36,51,19.6,2020-2021
Lamminen Janne,Classic,23,11,10,21,6,72,43,29,61,18.0,2020-2021
Ukkonen Eemil,Happee,25,6,14,20,6,56,46,10,83,7.2,2020-2021
Mäkinen Miska,LASB,18,8,12,20,0,46,35,11,62,12.9,2020-2021
Iskanius Miika,Tiikerit,26,9,11,20,16,47,50,-3,40,22.5,2020-2021
Palomäki Hannu,Jymy,22,10,10,20,2,41,49,-8,75,13.3,2020-2021
Siekkinen Kaapo,Happee,21,14,6,20,12,55,36,19,75,18.7,2020-2021
Juselius Marko,ErVi,25,8,11,19,6,43,36,7,92,8.7,2020-2021
Kinnunen Teuvo,Steelers,11,12,7,19,6,28,28,0,94,12.8,2020-2021
Veikkola Matias,Oilers,23,3,15,18,4,82,39,43,38,7.9,2020-2021
Ailio Tuure,LASB,26,6,12,18,0,60,57,3,95,6.3,2020-2021
Kukko Joona,Jymy,25,8,10,18,10,47,70,-23,59,13.6,2020-2021
Rosendahl Tommi,ErVi,13,8,10,18,6,44,20,24,49,16.3,2020-2021
Simonen Topias,Welhot,26,10,8,18,10,31,87,-56,92,10.9,2020-2021
Remes Christian,Tiikerit,24,11,7,18,2,33,46,-13,100,11.0,2020-2021
Alatorvinen Joona,OLS,20,14,4,18,6,32,19,13,76,18.4,2020-2021
Lindroos Yannick,Tiikerit,26,3,14,17,10,31,52,-21,74,4.1,2020-2021
Laurila Niklas,Tiikerit,26,7,10,17,6,48,53,-5,63,11.1,2020-2021
Nykänen Eetu,Indians,16,11,6,17,8,36,30,6,61,18.0,2020-2021
Kuusela Ville-Pertti,SPV,26,12,5,17,10,67,61,6,76,15.8,2020-2021
Moilanen Mika,ErVi,25,12,5,17,6,47,56,-9,102,11.8,2020-2021
Helin Aaro,Classic,26,14,3,17,4,35,22,13,94,14.9,2020-2021
Wiander Tommi,OLS,26,4,12,16,14,58,62,-4,43,9.3,2020-2021
Aho Tuomas,ErVi,25,4,12,16,2,39,54,-15,46,8.7,2020-2021
Jalo Eero,TPS,11,4,12,16,4,39,11,28,48,8.3,2020-2021
Urmas Henri,SPV,24,5,11,16,0,56,45,11,50,10.0,2020-2021
Pfitzner Casper,Oilers,23,5,11,16,2,40,22,18,30,16.7,2020-2021
Kotovaara Lassi,Happee,18,5,11,16,8,44,27,17,54,9.3,2020-2021
Leikkanen Mikko,Classic,20,8,8,16,6,82,40,42,53,15.1,2020-2021
Hakonen Petri,SPV,21,9,7,16,6,46,30,16,86,10.5,2020-2021
Tiira Matias,OLS,15,9,7,16,0,27,32,-5,42,21.4,2020-2021
Mattila Jere,KrP,26,10,6,16,2,56,44,12,43,23.3,2020-2021
Autio Janne,SPV,21,10,6,16,4,42,36,6,43,23.3,2020-2021
Näveri Vili,LASB,26,11,5,16,8,42,49,-7,67,16.4,2020-2021
Salo Juuso,Tiikerit,26,12,4,16,4,36,56,-20,64,18.8,2020-2021
Einiö Niko,Steelers,12,12,4,16,2,30,35,-5,75,16.0,2020-2021
Junkkarinen Jonne,Happee,17,3,12,15,4,56,32,24,38,7.9,2020-2021
Lahti Joel,Happee,26,6,9,15,4,77,55,22,43,14.0,2020-2021
Sorvali Eetu,ErVi,26,8,7,15,0,34,26,8,53,15.1,2020-2021
Kauppila Oskari,Jymy,25,9,6,15,10,29,47,-18,81,11.1,2020-2021
Veteläinen Asla,OLS,24,10,5,15,8,48,49,-1,87,11.5,2020-2021
Lillas Didrik,Jymy,24,10,5,15,2,21,41,-20,118,8.5,2020-2021
Perälä Niko-Arttu,Jymy,18,10,5,15,0,27,50,-23,63,15.9,2020-2021
Harjula Tuomas,Indians,23,6,8,14,0,61,40,21,32,18.8,2020-2021
Hautaoja Markus,Steelers,25,7,7,14,2,29,48,-19,54,13.0,2020-2021
Juuti Jasper,Oilers,23,8,6,14,2,24,16,8,58,13.8,2020-2021
Tykkyläinen Konsta,Classic,21,10,4,14,6,35,26,9,58,17.2,2020-2021
Pesu Eino,Oilers,24,11,3,14,4,26,15,11,46,23.9,2020-2021
Arkkila Olli,Indians,25,2,11,13,36,45,43,2,65,3.1,2020-2021
Laitinen Patrik,LASB,26,4,9,13,2,44,53,-9,40,10.0,2020-2021
Suhanto Eppu,Happee,26,6,7,13,10,52,50,2,73,8.2,2020-2021
Arola Jesse,LASB,26,6,7,13,2,27,34,-7,61,9.8,2020-2021
Sillanpää Oliver,ErVi,26,7,6,13,2,28,36,-8,63,11.1,2020-2021
Ijäs Eetu,OLS,22,7,6,13,12,32,41,-9,59,11.9,2020-2021
Myllymäki Henri,SPV,13,7,6,13,4,29,19,10,40,17.5,2020-2021
Mäenpää Matias,Jymy,20,10,3,13,4,23,32,-9,77,13.0,2020-2021
Mustonen Tuomas,SPV,26,3,9,12,6,59,44,15,41,7.3,2020-2021
Lehkosuo Otto,Indians,16,3,9,12,10,37,38,-1,53,5.7,2020-2021
Salo Tuukka,Classic,26,4,8,12,6,55,24,31,41,9.8,2020-2021
Kinnunen Olli,TPS,26,5,7,12,4,25,22,3,48,10.4,2020-2021
Laaksonen Nikolas,TPS,22,6,6,12,0,33,18,15,43,14.0,2020-2021
Suomela Antti,Oilers,25,7,5,12,2,87,43,44,47,14.9,2020-2021
Kauppinen Pyry,Steelers,20,7,5,12,2,24,33,-9,80,8.8,2020-2021
Holappa Niko-Petteri,OLS,18,7,5,12,0,28,45,-17,38,18.4,2020-2021
Hakola Jesper,Welhot,20,9,3,12,2,18,39,-21,56,16.1,2020-2021
Holopainen Riku,Oilers,17,9,3,12,0,28,18,10,80,11.3,2020-2021
Minkkinen Matti,Happee,15,9,3,12,0,23,7,16,40,22.5,2020-2021
Palin Tomi,Tiikerit,26,10,2,12,2,34,47,-13,88,11.4,2020-2021
Toropainen Santeri,Indians,19,2,9,11,2,32,42,-10,53,3.8,2020-2021
Saarela Miko,Jymy,25,4,7,11,8,42,66,-24,55,7.3,2020-2021
Kivilehto Juha,Classic,26,5,6,11,30,54,51,3,31,16.1,2020-2021
Roth Anton,KrP,25,6,5,11,6,22,24,-2,44,13.6,2020-2021
Krumins Morics,KrP,24,6,5,11,10,75,44,31,55,10.9,2020-2021
Talvitie Ilari,Oilers,25,7,4,11,12,53,27,26,92,7.6,2020-2021
Yrjänen Roope,Steelers,24,7,4,11,4,23,64,-41,54,13.0,2020-2021
Vikstedt Antti,OLS,23,7,4,11,0,17,32,-15,50,14.0,2020-2021
Kapanen Lauri,ErVi,15,7,4,11,2,46,31,15,57,12.3,2020-2021
Jalonen Ossi,ErVi,23,8,3,11,4,39,43,-4,51,15.7,2020-2021
Puntanen Eetu,Jymy,19,8,3,11,2,25,37,-12,93,8.6,2020-2021
Niemelä Petri,OLS,26,9,2,11,6,23,59,-36,60,15.0,2020-2021
Heikkilä Jeri,SPV,26,9,2,11,6,48,38,10,76,11.8,2020-2021
Alin Juuso,TPS,26,3,7,10,8,45,29,16,24,12.5,2020-2021
Storgårds Erik,TPS,25,3,7,10,8,61,27,34,46,6.5,2020-2021
Virrankari Olli-Matti,OLS,26,4,6,10,0,46,48,-2,22,18.2,2020-2021
Pentikäinen Miikka,LASB,26,4,6,10,10,44,51,-7,54,7.4,2020-2021
Lankinen Iiro,Happee,25,4,6,10,4,57,41,16,59,6.8,2020-2021
Kouvonen Jalo,KrP,21,4,6,10,6,28,24,4,21,19.0,2020-2021
Salokangas Tiitus,LASB,24,5,5,10,2,20,24,-4,61,8.2,2020-2021
Wikstedt Olli,OLS,22,5,5,10,12,36,51,-15,62,8.1,2020-2021
Pulkkinen Jere,Classic,20,5,5,10,18,76,38,38,54,9.3,2020-2021
Hyytiäinen Jani,TPS,26,6,4,10,2,17,9,8,41,14.6,2020-2021
Nylund Kevin,Indians,19,6,4,10,0,30,24,6,56,10.7,2020-2021
Harle Teemu,Welhot,26,7,3,10,4,24,63,-39,94,7.4,2020-2021
Takala Jose,Steelers,21,7,3,10,2,26,35,-9,54,13.0,2020-2021
Viitakoski Valtteri,KrP,13,7,3,10,0,19,12,7,38,18.4,2020-2021
Niinikoski Juho,ErVi,25,7,2,9,2,16,20,-4,48,14.6,2020-2021
Laine Lauri,ErVi,22,7,2,9,2,20,19,1,36,19.4,2020-2021
Välitalo Anssi,OLS,17,7,2,9,4,15,30,-15,21,33.3,2020-2021
Alkki Lauri,KrP,26,1,7,8,16,39,34,5,10,10.0,2020-2021
Taskinen Olli,Welhot,26,2,6,8,8,25,59,-34,24,8.3,2020-2021
Koskinen Ossi,Indians,26,2,6,8,8,34,32,2,36,5.6,2020-2021
Aaltonen Julius,Steelers,24,3,5,8,10,32,48,-16,48,6.3,2020-2021
Laine Ville-Martti,TPS,26,4,4,8,4,23,11,12,25,16.0,2020-2021
Venäläinen Viljami,Welhot,24,4,4,8,2,17,59,-42,53,7.5,2020-2021
Sivula Erno,Welhot,20,4,4,8,6,19,50,-31,37,10.8,2020-2021
Ragovskis Janis,LASB,26,5,3,8,6,26,36,-10,36,13.9,2020-2021
Puolakka Joni,LASB,21,5,3,8,6,30,38,-8,33,15.2,2020-2021
Henttonen Joni,KrP,23,6,2,8,0,73,41,32,22,27.3,2020-2021
Laitila Alpo,Classic,20,6,2,8,2,20,9,11,27,22.2,2020-2021
Koskinen Albert,Classic,9,6,2,8,0,12,9,3,34,17.6,2020-2021
Lamminmäki Martti,Jymy,8,6,2,8,6,12,16,-4,38,15.8,2020-2021
Akola Eemeli,Classic,26,1,6,7,2,44,23,21,38,2.6,2020-2021
Loippo Leevi,Tiikerit,23,1,6,7,0,20,21,-1,36,2.8,2020-2021
Salonen Janne,Tiikerit,26,2,5,7,26,45,65,-20,60,3.3,2020-2021
Ojala Miska,Welhot,25,2,5,7,0,20,58,-38,48,4.2,2020-2021
Holopainen Jyrki,SPV,5,2,5,7,6,16,13,3,14,14.3,2020-2021
Lokasaari Aapo,SPV,26,3,4,7,6,35,37,-2,33,9.1,2020-2021
Estovirta Tomas,KrP,25,3,4,7,4,29,14,15,30,10.0,2020-2021
Puska Perttu,Indians,24,3,4,7,6,20,23,-3,42,7.1,2020-2021
Ojala Tuomas,TPS,21,3,4,7,2,15,8,7,18,16.7,2020-2021
Auroila Jukkapekka,LASB,21,3,4,7,2,12,11,1,21,14.3,2020-2021
Koistinen Jere,Welhot,26,4,3,7,10,19,68,-49,105,3.8,2020-2021
Kanervisto Tatu,TPS,24,4,3,7,8,26,24,2,43,9.3,2020-2021
Honkaniemi Miikka,Jymy,23,4,3,7,2,21,51,-30,40,10.0,2020-2021
Majalahti Mika,ErVi,15,4,3,7,8,13,13,0,31,12.9,2020-2021
Härkönen Erik,Jymy,8,4,3,7,2,12,22,-10,45,8.9,2020-2021
Repo Juho,SPV,24,6,1,7,4,27,34,-7,39,15.4,2020-2021
Juvonen Eetu,Welhot,16,6,1,7,0,19,42,-23,53,11.3,2020-2021
Lintula Matias,SPV,26,0,6,6,4,37,45,-8,24,0.0,2020-2021
Ainoa Luka,ErVi,25,1,5,6,2,27,55,-28,22,4.5,2020-2021
Budde Karri,Tiikerit,25,2,4,6,2,30,41,-11,47,4.3,2020-2021
Salminen Tino,TPS,26,3,3,6,6,19,18,1,24,12.5,2020-2021
Nurminen Janne,TPS,26,3,3,6,2,45,33,12,32,9.4,2020-2021
Kokljuschkin Mattias,Tiikerit,26,3,3,6,2,8,21,-13,22,13.6,2020-2021
Nyman Alexander,Oilers,25,3,3,6,0,44,38,6,20,15.0,2020-2021
Huppunen Jesse-Samuli,Indians,25,3,3,6,0,25,41,-16,43,7.0,2020-2021
Tarkkanen Robert,Tiikerit,26,4,2,6,4,38,55,-17,36,11.1,2020-2021
Räsänen Juho,ErVi,24,4,2,6,10,22,31,-9,25,16.0,2020-2021
Harjula Eero,Indians,22,4,2,6,28,20,13,7,26,15.4,2020-2021
Karjanlahti Eemeli,SPV,14,5,1,6,6,10,6,4,15,33.3,2020-2021
Tenho Oskari,KrP,11,5,1,6,0,14,7,7,26,19.2,2020-2021
Juuranto Matias,Oilers,16,0,5,5,0,27,16,11,26,0.0,2020-2021
Järvikangas Viljami,Jymy,26,1,4,5,2,34,68,-34,36,2.8,2020-2021
Ranki Ville,Steelers,24,2,3,5,4,17,49,-32,18,11.1,2020-2021
Palvaila Lauri,LASB,20,2,3,5,2,32,34,-2,33,6.1,2020-2021
Liikka Saku,Happee,18,2,3,5,4,11,10,1,22,9.1,2020-2021
Ijäs Janne,Steelers,18,2,3,5,10,23,32,-9,28,7.1,2020-2021
Kallio Emil,Tiikerit,13,2,3,5,0,11,11,0,21,9.5,2020-2021
Grönfors Samuli,Happee,26,3,2,5,2,11,19,-8,38,7.9,2020-2021
Lehto Kosti,OLS,22,3,2,5,4,30,24,6,18,16.7,2020-2021
Hirsikorpi Mika,OLS,20,3,2,5,2,13,25,-12,51,5.9,2020-2021
Hakanen Riku,SPV,12,3,2,5,2,16,13,3,34,8.8,2020-2021
Laakso Kalle,Tiikerit,19,4,1,5,4,11,16,-5,19,21.1,2020-2021
Hiltunen Aleksi,Steelers,16,0,4,4,2,8,21,-13,14,0.0,2020-2021
Rynnäs Ville-Pekka,Jymy,26,1,3,4,4,29,58,-29,23,4.3,2020-2021
Hämäläinen Petteri,Jymy,24,1,3,4,10,21,47,-26,30,3.3,2020-2021
Pollari Miika,Jymy,20,1,3,4,4,18,30,-12,14,7.1,2020-2021
Tiira Lauri,OLS,19,1,3,4,8,15,41,-26,23,4.3,2020-2021
Jokela Olli,Oilers,19,1,3,4,4,14,7,7,9,11.1,2020-2021
Määttä Salomo,Jymy,18,1,3,4,4,19,37,-18,19,5.3,2020-2021
Rautio Petro,Jymy,17,1,3,4,2,12,21,-9,11,9.1,2020-2021
Viitanen Joonas,Steelers,16,1,3,4,10,26,31,-5,16,6.3,2020-2021
Viitala Lauri,Happee,25,2,2,4,4,26,25,1,37,5.4,2020-2021
Lintu Ari,Welhot,25,2,2,4,28,15,57,-42,49,4.1,2020-2021
Turpeinen Mikko,Steelers,24,2,2,4,4,22,51,-29,26,7.7,2020-2021
Keränen Kalle,Welhot,24,2,2,4,10,8,32,-24,46,4.3,2020-2021
Santanen Mikko,KrP,19,2,2,4,0,21,17,4,9,22.2,2020-2021
Silvonen Jesper,Oilers,16,2,2,4,0,10,1,9,14,14.3,2020-2021
Alatalo Pieti,Steelers,14,2,2,4,8,21,30,-9,15,13.3,2020-2021
Kilpi Otto,Classic,11,2,2,4,0,7,1,6,17,11.8,2020-2021
