PELAAJA,JOUKKUE,O,M,S,P,R,+,-,+/-,L,L%,kausi
Pelto-Arvo Jukka-Pekka,SPV,26,21,6,27,6,63,49,14,109,19.3,2021-2022
Koljonen Perttu,LASB,26,13,13,26,0,45,48,-3,158,8.2,2021-2022
Ojala Tuomas,TPS,26,14,12,26,4,57,38,19,89,15.7,2021-2022
Huhtala Tuomas,Karhut,25,16,10,26,24,62,63,-1,75,21.3,2021-2022
Tykkyläinen Konsta,Classic,26,18,8,26,0,61,27,34,105,17.1,2021-2022
Sariola Eetu,Jymy,26,11,14,25,12,53,61,-8,138,8.0,2021-2022
Salin Eemeli,Classic,14,13,12,25,10,44,16,28,87,14.9,2021-2022
Niemelä Jere,TPS,24,14,11,25,22,73,27,46,110,12.7,2021-2022
Salmi Markus,Happee,22,21,4,25,0,48,27,21,163,12.9,2021-2022
Haukkala Konsta,SPV,24,15,9,24,8,43,43,0,88,17.0,2021-2022
Junkkarinen Jonne,Happee,26,4,19,23,6,68,46,22,37,10.8,2021-2022
Piha Jussi,Classic,24,4,19,23,2,50,22,28,26,15.4,2021-2022
Laiti Niko,Happee,23,11,12,23,4,49,29,20,108,10.2,2021-2022
Sorri Juho,OLS,23,14,9,23,0,44,45,-1,130,10.8,2021-2022
Hankkio Jari,SPV,21,14,9,23,8,45,28,17,156,9.0,2021-2022
Vanhatalo Eero,Karhut,22,15,8,23,4,37,60,-23,106,14.2,2021-2022
Remes Christian,Tiikerit,21,15,8,23,4,40,62,-22,170,8.8,2021-2022
Sikkinen Eetu,Classic,25,10,12,22,16,67,43,24,52,19.2,2021-2022
Perälä Niko-Arttu,Jymy,25,19,3,22,0,49,54,-5,75,25.3,2021-2022
Sipronen Markus,Steelers,14,8,13,21,16,38,41,-3,93,8.6,2021-2022
Granlund Samuli,Tiikerit,25,9,12,21,6,42,59,-17,108,8.3,2021-2022
Hakala Tommi,Jymy,26,11,10,21,0,52,62,-10,129,8.5,2021-2022
Laasonen Roni,Happee,24,16,5,21,14,58,39,19,135,11.9,2021-2022
Wikstedt Olli,OLS,20,7,13,20,8,46,40,6,51,13.7,2021-2022
Hoikkanen Janne,TPS,22,14,6,20,26,37,24,13,65,21.5,2021-2022
Einiö Niko,LASB,26,15,5,20,8,35,36,-1,138,10.9,2021-2022
Harjula Tuomas,Indians,26,7,12,19,0,68,44,24,50,14.0,2021-2022
Laitila Alpo,Classic,26,8,11,19,2,46,23,23,68,11.8,2021-2022
Auranen Leevi,Indians,24,8,11,19,6,36,36,0,76,10.5,2021-2022
Siekkinen Kaapo,Happee,24,9,10,19,4,64,39,25,94,9.6,2021-2022
Kinnunen Olli,OLS,22,9,10,19,6,52,47,5,122,7.4,2021-2022
Minkkinen Matti,Happee,24,14,5,19,2,37,29,8,112,12.5,2021-2022
Havula Tatu,LASB,26,5,13,18,0,47,54,-7,54,9.3,2021-2022
Myllyharju Juho,Karhut,26,9,9,18,4,34,51,-17,82,11.0,2021-2022
Salo Teppo,Indians,21,9,9,18,2,26,31,-5,50,18.0,2021-2022
Iskanius Miika,Tiikerit,23,10,8,18,38,44,59,-15,48,20.8,2021-2022
Huppunen Jesse-Samuli,Indians,21,11,7,18,4,40,38,2,78,14.1,2021-2022
Niskanen Sami,Indians,26,13,5,18,8,39,28,11,72,18.1,2021-2022
Kukkola Jani,ErVi,16,4,13,17,8,34,36,-2,69,5.8,2021-2022
Viitanen Joonas,Steelers,18,6,11,17,16,45,54,-9,72,8.3,2021-2022
Paulaharju Simo,KrP,26,8,9,17,2,35,25,10,63,12.7,2021-2022
Talvitie Ilari,Oilers,24,9,8,17,6,63,37,26,56,16.1,2021-2022
Leikkanen Mikko,Classic,26,10,7,17,2,86,48,38,82,12.2,2021-2022
Ijäs Eetu,OLS,22,10,7,17,6,34,38,-4,57,17.5,2021-2022
Auvinen Jasper,Indians,18,11,6,17,4,40,23,17,68,16.2,2021-2022
Lindholm Joonatan,ErVi,24,12,5,17,12,46,54,-8,140,8.6,2021-2022
Lindfors Jesperi,Oilers,25,4,12,16,6,65,34,31,47,8.5,2021-2022
Saarela Miko,Jymy,24,5,11,16,8,34,47,-13,42,11.9,2021-2022
