PELAAJA,JOUKKUE,O,L,M,M/O,L/O,raw,Adjusted,yhd_luokka_eb
Ordning Aapo,FBC,17,11,3,0.17647058823529413,0.6470588235294118,0.2727272727272727,0.16438865846155226,"Very High,% -- Low,spg"
Alkki Lauri,KrP,14,5,2,0.14285714285714285,0.35714285714285715,0.4,0.16389074132411177,"Very High,% -- Low,spg"
Mäenpää Eero,Jymy,9,4,2,0.2222222222222222,0.4444444444444444,0.5,0.17008688333660915,"Very High,% -- Low,spg"
