L/O_luokka,"Low,%","Average Low,%","Average High,%","High,%","Very High,%"
"Low,spg",19,20,25,15,NA
"Average Low,spg",24,8,10,6,4
"Average High,spg",15,10,6,16,6
"High,spg",15,9,7,11,9
"Very High,spg",7,5,3,4,7
