PELAAJA,JOUKKUE,O,L,M,M/O,L/O,raw,Adjusted,yhd_luokka_eb
Astala Aaro,Oilers,13,124,22,1.6923076923076923,9.538461538461538,0.1774193548387097,0.16728439278893906,"Very High,% -- Very High,spg"
Lastikka Ville,Classic,19,116,23,1.2105263157894737,6.105263157894737,0.19827586206896552,0.18417328806485161,"Very High,% -- Very High,spg"
Salmi Markus,Oilers,18,108,19,1.0555555555555556,6,0.17592592592592593,0.16480490945526222,"Very High,% -- Very High,spg"
Laakso Mikko,KrP,15,88,22,1.4666666666666666,5.866666666666666,0.25,0.22180873531810041,"Very High,% -- Very High,spg"
Rantala Joona,KrP,15,88,16,1.0666666666666667,5.866666666666666,0.18181818181818182,0.16748573321358035,"Very High,% -- Very High,spg"
