PELAAJA,JOUKKUE,viimeinen,O,L,M,M/O,L/O,raw,raw_luokka,yhd_luokka_eb,L/O_luokka,eb_raw,alhpa_new,beta_new,eb_raw_luokka,Games Left,Mean_Goals,CI_Lower,CI_Upper,Final_Goals,Final_CI_Lower,Final_CI_Upper
Möttönen Juuso,ErVi,2025,17,88,9,0.5294117647058824,5.176470588235294,0.10227272727272728,"Average High,%","Average Low,% -- High,spg","High,spg",0.10410889742497365,11.498874516323287,110.45044948833487,"Average Low,%",16,7.734,4,12,16.734,13,21
Niemelä Jere,Indians,2025,18,81,12,0.6666666666666666,4.5,0.14814814814814814,"High,%","High,% -- High,spg","High,spg",0.14015284213876894,14.498874516323287,103.45044948833487,"High,%",15,8.146,5,12,20.146,17,24
Niemelä Marius,Happee,2025,15,16,1,0.06666666666666667,1.0666666666666667,0.0625,"Average Low,%","Low,% -- Low,spg","Low,spg",0.09099697306229873,3.498874516323286,38.45044948833487,"Low,%",15,1.352,0,3,2.3520000000000003,1,4
Niemelä Oliver,TPS,2025,11,15,4,0.36363636363636365,1.3636363636363635,0.26666666666666666,"Very High,%","Very High,% -- Average Low,spg","Average Low,spg",0.17353261723460936,6.498874516323286,37.45044948833487,"Very High,%",15,3.08,1,5,7.08,5,9
Niemelä Petri,OLS,2025,16,25,2,0.125,1.5625,0.08,"Average Low,%","Average Low,% -- Average Low,spg","Average Low,spg",0.09481205267463864,4.498874516323286,47.45044948833487,"Average Low,%",14,1.924,0,4,3.924,2,6
Nissilä Juuso,OLS,2025,17,21,1,0.058823529411764705,1.2352941176470589,0.047619047619047616,"Low,%","Low,% -- Average Low,spg","Average Low,spg",0.08052562303786127,3.498874516323286,43.45044948833487,"Low,%",14,1.268,0,3,2.268,1,4
Nykänen Eetu,Oilers,2025,3,4,0,0,1.3333333333333333,0,"Low,%","Average Low,% -- Average Low,spg","Average Low,spg",0.09447380156716563,2.498874516323286,26.45044948833487,"Average Low,%",15,1.714,0,4,1.714,0,4
Nyman Elias,Jymy,2025,17,15,1,0.058823529411764705,0.8823529411764706,0.06666666666666667,"Average Low,%","Average Low,% -- Low,spg","Low,spg",0.09342676961495808,3.498874516323286,37.45044948833487,"Average Low,%",14,1.038,0,2,2.0380000000000003,1,3
Nyström Rasmus,Classic,2025,1,1,0,0,1,0,"Low,%","Average High,% -- Low,spg","Low,spg",0.10655977053089409,2.498874516323286,23.45044948833487,"Average High,%",14,1.307,0,3,1.307,0,3
Ojala Jani,Jymy,2025,8,6,0,0,0.75,0,"Low,%","Low,% -- Low,spg","Low,spg",0.08783251446863305,2.498874516323286,28.45044948833487,"Low,%",14,0.826,0,2,0.826,0,2
Ojala Tuomas,TPS,2025,18,97,9,0.5,5.388888888888889,0.09278350515463918,"Average High,%","Average Low,% -- Very High,spg","Very High,spg",0.09626480742080613,11.498874516323287,119.45044948833487,"Average Low,%",15,7.116,4,11,16.116,13,20
Ojanperä Aleksi,Jymy,2025,8,2,0,0,0.25,0,"Low,%","Average Low,% -- Low,spg","Low,spg",0.10220157782847636,2.498874516323286,24.45044948833487,"Average Low,%",14,0.3,0,1,0.3,0,1
Okkonen Roope,OLS,2025,17,42,3,0.17647058823529413,2.4705882352941178,0.07142857142857142,"Average Low,%","Low,% -- Average High,spg","Average High,spg",0.08531941297505688,5.498874516323286,64.45044948833487,"Low,%",14,2.8,1,5,5.8,4,8
Ollikainen Aaro,FBC,2025,17,44,4,0.23529411764705882,2.588235294117647,0.09090909090909091,"Average Low,%","Average Low,% -- Average High,spg","Average High,spg",0.09780030934875977,6.498874516323286,66.45044948833487,"Average Low,%",16,3.611,1,6,7.611000000000001,5,10
Ordning Aapo,FBC,2025,17,11,3,0.17647058823529413,0.6470588235294118,0.2727272727272727,"Very High,%","Very High,% -- Low,spg","Low,spg",0.16438865846155226,5.498874516323286,33.45044948833487,"Very High,%",16,1.469,0,3,4.469,3,6
Palojoki Jooa,ErVi,2025,7,9,0,0,1.2857142857142858,0,"Low,%","Low,% -- Average Low,spg","Average Low,spg",0.07945433394362555,2.498874516323286,31.45044948833487,"Low,%",16,1.57,0,3,1.57,0,3
Palvaila Lauri,LASB,2025,16,39,3,0.1875,2.4375,0.07692307692307693,"Average Low,%","Low,% -- Average High,spg","Average High,spg",0.08948469152153454,5.498874516323286,61.45044948833487,"Low,%",16,3.157,1,6,6.157,4,9
Pasanen Rasmus,Indians,2025,15,32,5,0.3333333333333333,2.1333333333333333,0.15625,"High,%","High,% -- Average High,spg","Average High,spg",0.13771923991058696,7.498874516323286,54.45044948833487,"High,%",15,3.836,1,6,8.836,6,11
Paulaharju Simo,KrP,2025,12,10,0,0,0.8333333333333334,0,"Low,%","Low,% -- Low,spg","Low,spg",0.07700585217537802,2.498874516323286,32.45044948833487,"Low,%",17,1.007,0,2,1.007,0,2
Pekari Elias,Oilers,2025,18,24,3,0.16666666666666666,1.3333333333333333,0.125,"Average High,%","Average High,% -- Average Low,spg","Average Low,spg",0.11838151356757531,5.498874516323286,46.45044948833487,"Average High,%",15,2.166,0,4,5.166,3,7
Pelto-Arvo Jukka-Pekka,SPV,2025,18,43,9,0.5,2.388888888888889,0.20930232558139536,"Very High,%","Very High,% -- Average High,spg","Average High,spg",0.175688243644113,11.498874516323287,65.45044948833487,"Very High,%",15,5.308,3,8,14.308,12,17
Penicka Matej,ErVi,2025,16,60,3,0.1875,3.75,0.05,"Low,%","Low,% -- High,spg","High,spg",0.0666930811226356,5.498874516323286,82.45044948833487,"Low,%",16,3.812,2,6,6.811999999999999,5,9
Pernu Valtteri,Happee,2025,13,8,2,0.15384615384615385,0.6153846153846154,0.25,"Very High,%","High,% -- Low,spg","Low,spg",0.1477441086065656,4.498874516323286,30.45044948833487,"High,%",15,1.251,0,3,3.251,2,5
Pirhonen Elias,ErVi,2025,12,12,0,0,1,0,"Low,%","Low,% -- Low,spg","Low,spg",0.07253532402151734,2.498874516323286,34.45044948833487,"Low,%",16,1.088,0,3,1.088,0,3
Piskacek Bohumil,ErVi,2025,17,37,0,0,2.176470588235294,0,"Low,%","Low,% -- Average High,spg","Average High,spg",0.0420328952569754,2.498874516323286,59.45044948833487,"Low,%",16,1.413,0,3,1.413,0,3
Porttikivi Pietari,LASB,2025,13,16,0,0,1.2307692307692308,0,"Low,%","Low,% -- Average Low,spg","Average Low,spg",0.06498947475455123,2.498874516323286,38.45044948833487,"Low,%",16,1.201,0,3,1.201,0,3
Puntanen Eetu,Jymy,2025,19,52,4,0.21052631578947367,2.736842105263158,0.07692307692307693,"Average Low,%","Low,% -- Average High,spg","Average High,spg",0.08729127306802292,6.498874516323286,74.45044948833487,"Low,%",14,3.071,1,5,7.071,5,9
Pylväläinen Arttu,Happee,2025,17,22,1,0.058823529411764705,1.2941176470588236,0.045454545454545456,"Low,%","Low,% -- Average Low,spg","Average Low,spg",0.07871404128863749,3.498874516323286,44.45044948833487,"Low,%",15,1.386,0,3,2.386,1,4
Pöyhtäri Akseli,FBC,2025,14,43,6,0.42857142857142855,3.0714285714285716,0.13953488372093023,"High,%","High,% -- High,spg","High,spg",0.1298520420068013,8.498874516323287,65.45044948833487,"High,%",16,5.799,3,9,11.799,9,15
Raappana Atte,LASB,2025,13,34,4,0.3076923076923077,2.6153846153846154,0.11764705882352941,"Average High,%","Average High,% -- Average High,spg","Average High,spg",0.1151252926279398,6.498874516323286,56.45044948833487,"Average High,%",16,4.309,2,7,8.309000000000001,6,11
Rannanjärvi Jaakko,TPS,2025,10,3,0,0,0.3,0,"Low,%","Average Low,% -- Low,spg","Low,spg",0.09818586966287716,2.498874516323286,25.45044948833487,"Average Low,%",15,0.428,0,1,0.428,0,1
Ranta Justus,Jymy,2025,14,5,0,0,0.35714285714285715,0,"Low,%","Average Low,% -- Low,spg","Low,spg",0.09103218937763437,2.498874516323286,27.45044948833487,"Average Low,%",14,0.433,0,1,0.433,0,1
Rantala Joona,KrP,2025,15,88,16,1.0666666666666667,5.866666666666666,0.18181818181818182,"High,%","Very High,% -- Very High,spg","Very High,spg",0.16748573321358035,18.498874516323287,110.45044948833487,"Very High,%",17,14.216,9,19,30.216,25,35
Rantala Peetu,LASB,2025,17,12,1,0.058823529411764705,0.7058823529411765,0.08333333333333333,"Average Low,%","Average Low,% -- Low,spg","Low,spg",0.1015625214848946,3.498874516323286,34.45044948833487,"Average Low,%",16,1.056,0,2,2.056,1,3
Rantaniemi Aapo,OLS,2025,12,34,2,0.16666666666666666,2.8333333333333335,0.058823529411764705,"Average Low,%","Low,% -- High,spg","High,spg",0.07969599103463207,4.498874516323286,56.45044948833487,"Low,%",14,2.922,1,5,4.922000000000001,3,7
Rauhala Jani,Indians,2025,16,47,3,0.1875,2.9375,0.06382978723404255,"Average Low,%","Low,% -- High,spg","High,spg",0.07917694639610498,5.498874516323286,69.45044948833487,"Low,%",15,3.205,1,6,6.205,4,9
Rautakoura Ville,Indians,2025,17,20,2,0.11764705882352941,1.1764705882352942,0.1,"Average High,%","Average High,% -- Average Low,spg","Average Low,spg",0.10597943179752549,4.498874516323286,42.45044948833487,"Average High,%",15,1.71,0,3,3.71,2,5
Rautio Petro,Jymy,2025,19,26,1,0.05263157894736842,1.368421052631579,0.038461538461538464,"Low,%","Low,% -- Average Low,spg","Average Low,spg",0.0722155223176142,3.498874516323286,48.45044948833487,"Low,%",14,1.278,0,3,2.278,1,4
Rehu Santtu,OLS,2025,17,22,0,0,1.2941176470588236,0,"Low,%","Low,% -- Average Low,spg","Average Low,spg",0.056217080931410285,2.498874516323286,44.45044948833487,"Low,%",14,0.943,0,2,0.943,0,2
Repo Juho,SPV,2025,17,43,6,0.35294117647058826,2.5294117647058822,0.13953488372093023,"High,%","High,% -- Average High,spg","Average High,spg",0.1298520420068013,8.498874516323287,65.45044948833487,"High,%",15,4.256,2,7,10.256,8,13
Rintala Toni,Indians,2025,18,7,0,0,0.3888888888888889,0,"Low,%","Low,% -- Low,spg","Low,spg",0.08485013165293366,2.498874516323286,29.45044948833487,"Low,%",15,0.445,0,1,0.445,0,1
Roimela Setti,Indians,2025,3,3,0,0,1,0,"Low,%","Average Low,% -- Low,spg","Low,spg",0.09818586966287716,2.498874516323286,25.45044948833487,"Average Low,%",15,1.285,0,3,1.285,0,3
Roth Anton,Indians,2025,18,27,5,0.2777777777777778,1.5,0.18518518518518517,"High,%","High,% -- Average Low,spg","Average Low,spg",0.15164421342807483,7.498874516323286,49.45044948833487,"High,%",15,2.991,1,5,7.991,6,10
